"KEGGid","GeneID","GeneSymbol"
"hsa00010","10327","AKR1A1"
"hsa00010","124","ADH1A"
"hsa00010","125","ADH1B"
"hsa00010","126","ADH1C"
"hsa00010","127","ADH4"
"hsa00010","128","ADH5"
"hsa00010","130","ADH6"
"hsa00010","130589","GALM"
"hsa00010","131","ADH7"
"hsa00010","160287","LDHAL6A"
"hsa00010","1737","DLAT"
"hsa00010","1738","DLD"
"hsa00010","2023","ENO1"
"hsa00010","2026","ENO2"
"hsa00010","2027","ENO3"
"hsa00010","217","ALDH2"
"hsa00010","218","ALDH3A1"
"hsa00010","219","ALDH1B1"
"hsa00010","2203","FBP1"
"hsa00010","221","ALDH3B1"
"hsa00010","222","ALDH3B2"
"hsa00010","223","ALDH9A1"
"hsa00010","224","ALDH3A2"
"hsa00010","226","ALDOA"
"hsa00010","229","ALDOB"
"hsa00010","230","ALDOC"
"hsa00010","2538","G6PC"
"hsa00010","2597","GAPDH"
"hsa00010","26330","GAPDHS"
"hsa00010","2645","GCK"
"hsa00010","2821","GPI"
"hsa00010","3098","HK1"
"hsa00010","3099","HK2"
"hsa00010","3101","HK3"
"hsa00010","387712","ENO4"
"hsa00010","3939","LDHA"
"hsa00010","3945","LDHB"
"hsa00010","3948","LDHC"
"hsa00010","441531","PGAM4"
"hsa00010","501","ALDH7A1"
"hsa00010","5105","PCK1"
"hsa00010","5106","PCK2"
"hsa00010","5160","PDHA1"
"hsa00010","5161","PDHA2"
"hsa00010","5162","PDHB"
"hsa00010","5211","PFKL"
"hsa00010","5213","PFKM"
"hsa00010","5214","PFKP"
"hsa00010","5223","PGAM1"
"hsa00010","5224","PGAM2"
"hsa00010","5230","PGK1"
"hsa00010","5232","PGK2"
"hsa00010","5236","PGM1"
"hsa00010","5313","PKLR"
"hsa00010","5315","PKM"
"hsa00010","55276","PGM2"
"hsa00010","55902","ACSS2"
"hsa00010","57818","G6PC2"
"hsa00010","669","BPGM"
"hsa00010","7167","TPI1"
"hsa00010","80201","HKDC1"
"hsa00010","83440","ADPGK"
"hsa00010","84532","ACSS1"
"hsa00010","8789","FBP2"
"hsa00010","92483","LDHAL6B"
"hsa00010","92579","G6PC3"
"hsa00010","9562","MINPP1"
"hsa00020","1431","CS"
"hsa00020","1737","DLAT"
"hsa00020","1738","DLD"
"hsa00020","1743","DLST"
"hsa00020","2271","FH"
"hsa00020","3417","IDH1"
"hsa00020","3418","IDH2"
"hsa00020","3419","IDH3A"
"hsa00020","3420","IDH3B"
"hsa00020","3421","IDH3G"
"hsa00020","4190","MDH1"
"hsa00020","4191","MDH2"
"hsa00020","47","ACLY"
"hsa00020","48","ACO1"
"hsa00020","4967","OGDH"
"hsa00020","50","ACO2"
"hsa00020","5091","PC"
"hsa00020","5105","PCK1"
"hsa00020","5106","PCK2"
"hsa00020","5160","PDHA1"
"hsa00020","5161","PDHA2"
"hsa00020","5162","PDHB"
"hsa00020","55753","OGDHL"
"hsa00020","6389","SDHA"
"hsa00020","6390","SDHB"
"hsa00020","6391","SDHC"
"hsa00020","6392","SDHD"
"hsa00020","8801","SUCLG2"
"hsa00020","8802","SUCLG1"
"hsa00020","8803","SUCLA2"
"hsa00030","132158","GLYCTK"
"hsa00030","2203","FBP1"
"hsa00030","221823","PRPS1L1"
"hsa00030","226","ALDOA"
"hsa00030","229","ALDOB"
"hsa00030","22934","RPIA"
"hsa00030","230","ALDOC"
"hsa00030","2539","G6PD"
"hsa00030","25796","PGLS"
"hsa00030","2821","GPI"
"hsa00030","414328","IDNK"
"hsa00030","51071","DERA"
"hsa00030","5211","PFKL"
"hsa00030","5213","PFKM"
"hsa00030","5214","PFKP"
"hsa00030","5226","PGD"
"hsa00030","5236","PGM1"
"hsa00030","55276","PGM2"
"hsa00030","5631","PRPS1"
"hsa00030","5634","PRPS2"
"hsa00030","6120","RPE"
"hsa00030","64080","RBKS"
"hsa00030","6888","TALDO1"
"hsa00030","7086","TKT"
"hsa00030","729020","RPEL1"
"hsa00030","8277","TKTL1"
"hsa00030","84076","TKTL2"
"hsa00030","8789","FBP2"
"hsa00030","9104","RGN"
"hsa00030","9563","H6PD"
"hsa00040","10327","AKR1A1"
"hsa00040","10720","UGT2B11"
"hsa00040","10941","UGT2A1"
"hsa00040","231","AKR1B1"
"hsa00040","27294","DHDH"
"hsa00040","2990","GUSB"
"hsa00040","51084","CRYL1"
"hsa00040","51181","DCXR"
"hsa00040","54490","UGT2B28"
"hsa00040","54575","UGT1A10"
"hsa00040","54576","UGT1A8"
"hsa00040","54577","UGT1A7"
"hsa00040","54578","UGT1A6"
"hsa00040","54579","UGT1A5"
"hsa00040","54600","UGT1A9"
"hsa00040","54657","UGT1A4"
"hsa00040","54658","UGT1A1"
"hsa00040","54659","UGT1A3"
"hsa00040","57016","AKR1B10"
"hsa00040","574537","UGT2A2"
"hsa00040","6120","RPE"
"hsa00040","6652","SORD"
"hsa00040","729020","RPEL1"
"hsa00040","729920","CRPPA"
"hsa00040","7358","UGDH"
"hsa00040","7360","UGP2"
"hsa00040","7363","UGT2B4"
"hsa00040","7364","UGT2B7"
"hsa00040","7365","UGT2B10"
"hsa00040","7366","UGT2B15"
"hsa00040","7367","UGT2B17"
"hsa00040","79799","UGT2A3"
"hsa00040","9365","KL"
"hsa00040","9942","XYLB"
"hsa00051","197258","FCSK"
"hsa00051","2203","FBP1"
"hsa00051","226","ALDOA"
"hsa00051","229","ALDOB"
